1,1,1,10
2,2,1,20
3,3,1,30
4,4,1,35
5,5,1,40
6,6,1,45
7,7,2,10
8,8,2,20
9,9,2,30
10,10,2,35
11,11,2,40
12,12,2,45
13,13,3,10
14,14,3,20
15,15,3,30
16,16,3,35
17,17,3,40
18,18,3,45
19,19,4,10
20,20,4,20
21,21,4,30
22,22,4,35
23,23,4,40
24,24,5,10
25,25,5,20
26,26,5,30
27,27,5,35
28,28,5,40
29,29,6,10
30,30,6,20
31,31,6,30
32,32,6,35
33,33,6,40
34,34,7,10
35,35,7,20
36,36,7,30
37,37,7,35
38,38,7,40
39,39,8,20
40,40,8,40
41,41,8,50
42,42,8,60
43,43,8,70
44,44,9,2
45,45,9,3
46,46,9,4
47,47,9,5
48,48,9,6
49,49,9,7
50,50,1,15
51,50,8,45
52,51,1,15
53,51,9,4
